,window,geneModel,start,end,SNP_in_geneModel,ID
0,Scaffold_62942_SNP_1452977,gene 1,16545,23466,True,maker-Scaffold_62942_SNP_1452977-exonerate_est2genome-gene-0.0
1,Scaffold_62942_SNP_1452977,gene 2,31121,31204,False,maker-Scaffold_62942_SNP_1452977-exonerate_protein2genome-gene-0.1
2,Scaffold_51506_SNP_1002237,gene 1,36677,37864,False,maker-Scaffold_51506_SNP_1002237-exonerate_est2genome-gene-0.0
3,Scaffold_56543_SNP_14798389,gene 1,24479,25737,False,maker-Scaffold_56543_SNP_14798389-exonerate_est2genome-gene-0.0
4,Scaffold_56543_SNP_14798389,gene 2,19545,20135,True,maker-Scaffold_56543_SNP_14798389-exonerate_protein2genome-gene-0.1
5,Scaffold_56543_SNP_14798389,gene 3,28023,29138,False,maker-Scaffold_56543_SNP_14798389-exonerate_protein2genome-gene-0.0
6,Scaffold_56543_SNP_14798389,gene 4,29979,30260,False,maker-Scaffold_56543_SNP_14798389-exonerate_protein2genome-gene-0.2
7,Scaffold_23621_SNP_2202981,gene 1,4803,5891,False,maker-Scaffold_23621_SNP_2202981-exonerate_est2genome-gene-0.0
8,Scaffold_23621_SNP_2202981,gene 2,26596,26867,False,maker-Scaffold_23621_SNP_2202981-exonerate_est2genome-gene-0.1
9,Scaffold_23621_SNP_2202981,gene 3,5887,6270,False,maker-Scaffold_23621_SNP_2202981-exonerate_protein2genome-gene-0.1
10,Scaffold_19888_SNP_3195966,gene 1,18692,36002,True,maker-Scaffold_19888_SNP_3195966-exonerate_est2genome-gene-0.0
11,Scaffold_5036_SNP_12188081,gene 1,31192,31467,False,maker-Scaffold_5036_SNP_12188081-exonerate_protein2genome-gene-0.0
12,Scaffold_62540_SNP_3710393,gene 1,19666,21219,True,maker-Scaffold_62540_SNP_3710393-exonerate_est2genome-gene-0.0
13,Scaffold_62540_SNP_3710393,gene 2,21825,22360,False,maker-Scaffold_62540_SNP_3710393-exonerate_est2genome-gene-0.1
14,Scaffold_62540_SNP_3710393,gene 3,21314,26032,False,maker-Scaffold_62540_SNP_3710393-exonerate_est2genome-gene-0.2
15,Scaffold_62540_SNP_3710393,gene 4,29321,29713,False,maker-Scaffold_62540_SNP_3710393-exonerate_est2genome-gene-0.3
16,Scaffold_62540_SNP_3710393,gene 5,6019,7445,False,maker-Scaffold_62540_SNP_3710393-exonerate_protein2genome-gene-0.0
17,Scaffold_3589_SNP_9252545,gene 1,7808,8939,False,maker-Scaffold_3589_SNP_9252545-exonerate_protein2genome-gene-0.0
18,Scaffold_63514_SNP_229274,gene 1,3820,11742,False,maker-Scaffold_63514_SNP_229274-exonerate_est2genome-gene-0.0
19,Scaffold_47900_SNP_1597869,gene 1,18364,25458,True,maker-Scaffold_47900_SNP_1597869-exonerate_est2genome-gene-0.0
20,Scaffold_5277_SNP_211152,gene 1,1354,2846,False,maker-Scaffold_5277_SNP_211152-exonerate_est2genome-gene-0.0
21,Scaffold_5277_SNP_211152,gene 2,3516,11343,False,maker-Scaffold_5277_SNP_211152-exonerate_protein2genome-gene-0.0
22,Scaffold_61434_SNP_9194665,gene 1,9943,36724,True,maker-Scaffold_61434_SNP_9194665-exonerate_est2genome-gene-0.0
23,Scaffold_61305_SNP_2136144,gene 1,1615,1961,False,maker-Scaffold_61305_SNP_2136144-exonerate_est2genome-gene-0.0
24,Scaffold_61305_SNP_2136144,gene 2,29632,34612,False,maker-Scaffold_61305_SNP_2136144-exonerate_est2genome-gene-0.1
25,Scaffold_17057_SNP_457058,gene 1,20494,21785,False,maker-Scaffold_17057_SNP_457058-exonerate_protein2genome-gene-0.0
26,Scaffold_17057_SNP_457058,gene 2,11229,11882,False,maker-Scaffold_17057_SNP_457058-exonerate_protein2genome-gene-0.4
27,Scaffold_17057_SNP_457058,gene 3,22212,22658,False,maker-Scaffold_17057_SNP_457058-exonerate_protein2genome-gene-0.1
28,Scaffold_17057_SNP_457058,gene 4,25195,25494,False,maker-Scaffold_17057_SNP_457058-exonerate_protein2genome-gene-0.2
29,Scaffold_17057_SNP_457058,gene 5,31690,31866,False,maker-Scaffold_17057_SNP_457058-exonerate_protein2genome-gene-0.5
30,Scaffold_17057_SNP_457058,gene 6,33707,33715,False,maker-Scaffold_17057_SNP_457058-exonerate_protein2genome-gene-0.3
31,Scaffold_62540_SNP_1173139,gene 1,3909,4214,False,maker-Scaffold_62540_SNP_1173139-exonerate_est2genome-gene-0.0
32,Scaffold_62540_SNP_1173139,gene 2,5183,7447,False,maker-Scaffold_62540_SNP_1173139-exonerate_protein2genome-gene-0.1
33,Scaffold_62540_SNP_1173139,gene 3,8978,9403,False,maker-Scaffold_62540_SNP_1173139-exonerate_protein2genome-gene-0.0
34,Scaffold_17618_SNP_8223181,gene 1,2829,8572,False,maker-Scaffold_17618_SNP_8223181-exonerate_est2genome-gene-0.0
35,Scaffold_28087_SNP_43758310,gene 1,7054,7388,False,maker-Scaffold_28087_SNP_43758310-exonerate_est2genome-gene-0.0
36,Scaffold_28087_SNP_43758310,gene 2,8898,13121,False,maker-Scaffold_28087_SNP_43758310-exonerate_est2genome-gene-0.1
37,Scaffold_62480_SNP_2374442,gene 1,10139,33811,True,maker-Scaffold_62480_SNP_2374442-exonerate_est2genome-gene-0.0
38,Scaffold_62480_SNP_2374442,gene 2,497,817,False,maker-Scaffold_62480_SNP_2374442-exonerate_protein2genome-gene-0.1
39,Scaffold_62491_SNP_17612429,gene 1,4483,19962,False,maker-Scaffold_62491_SNP_17612429-exonerate_protein2genome-gene-0.0
40,Scaffold_62491_SNP_17612429,gene 2,25571,26426,False,maker-Scaffold_62491_SNP_17612429-exonerate_protein2genome-gene-0.1
41,Scaffold_62491_SNP_17612429,gene 3,38392,38616,False,maker-Scaffold_62491_SNP_17612429-exonerate_protein2genome-gene-0.2
