Unnamed: 0,Tags,SeqName,Description,Length,#Hits,e-Value,sim mean,#GO,GO IDs,GO Names,Enzyme Codes,Enzyme Names,InterPro IDs,InterPro GO IDs,InterPro GO Names
True,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",maker-Scaffold_61828_SNP_5464180-exonerate_protein2genome-gene-0.1-mRNA-9,RecName: Full=MDIS1-interacting receptor like kinase 2; Short=AtMIK2; AltName: Full=Probable LRR receptor-like serine/threonine-protein kinase At4g08850; Flags: Precursor,871,20.0,0.0,51.52,21.0,P:GO:0001558; P:GO:0006468; P:GO:0006810; P:GO:0009266; P:GO:0009725; P:GO:0010015; P:GO:0010074; P:GO:0010075; P:GO:0022603; P:GO:0030154; P:GO:0042742; P:GO:0048229; P:GO:0048437; P:GO:0048878; P:GO:1901700; F:GO:0004672; F:GO:0005515; F:GO:0038023; F:GO:0042277; C:GO:0016020; C:GO:0071944,P:regulation of cell growth; P:protein phosphorylation; P:transport; P:response to temperature stimulus; P:response to hormone; P:root morphogenesis; P:maintenance of meristem identity; P:regulation of meristem growth; P:regulation of anatomical structure morphogenesis; P:cell differentiation; P:defense response to bacterium; P:gametophyte development; P:floral organ development; P:chemical homeostasis; P:response to oxygen-containing compound; F:protein kinase activity; F:protein binding; F:signaling receptor activity; F:peptide binding; C:membrane; C:cell periphery,EC:2.7.1,Transferring phosphorus-containing groups,IPR003591 (SMART); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); IPR032675 (G3DSA:3.80.10.GENE3D); IPR032675 (G3DSA:3.80.10.GENE3D); IPR032675 (G3DSA:3.80.10.GENE3D); IPR001611 (PFAM); G3DSA:1.10.510.10 (GENE3D); IPR013210 (PFAM); PTHR48055:SF7 (PANTHER); PTHR48055 (PANTHER); PTHR48055 (PANTHER); PTHR48055:SF7 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY); SSF52058 (SUPERFAMILY); SSF52058 (SUPERFAMILY),P:GO:0006468; F:GO:0004672; F:GO:0005515; F:GO:0005524,P:protein phosphorylation; F:protein kinase activity; F:protein binding; F:ATP binding
True,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",maker-Scaffold_61828_SNP_5464180-exonerate_protein2genome-gene-0.1-mRNA-5,RecName: Full=MDIS1-interacting receptor like kinase 2; Short=AtMIK2; AltName: Full=Probable LRR receptor-like serine/threonine-protein kinase At4g08850; Flags: Precursor,813,20.0,1.7371700000000002e-160,47.32,14.0,P:GO:0006952; P:GO:0009266; P:GO:0010016; P:GO:0010073; P:GO:0048364; P:GO:0048638; P:GO:0050794; P:GO:0051716; P:GO:0090567; P:GO:1905392; F:GO:0004672; F:GO:0005515; F:GO:0038023; C:GO:0016020,P:defense response; P:response to temperature stimulus; P:shoot system morphogenesis; P:meristem maintenance; P:root development; P:regulation of developmental growth; P:regulation of cellular process; P:cellular response to stimulus; P:reproductive shoot system development; P:plant organ morphogenesis; F:protein kinase activity; F:protein binding; F:signaling receptor activity; C:membrane,EC:2.7.1,Transferring phosphorus-containing groups,IPR003591 (SMART); IPR001245 (PFAM); G3DSA:1.10.510.10 (GENE3D); IPR001611 (PFAM); IPR032675 (G3DSA:3.80.10.GENE3D); IPR013210 (PFAM); IPR032675 (G3DSA:3.80.10.GENE3D); IPR032675 (G3DSA:3.80.10.GENE3D); PTHR48055 (PANTHER); PTHR48055 (PANTHER); PTHR48055:SF7 (PANTHER); PTHR48055 (PANTHER); PTHR48055:SF7 (PANTHER); PTHR48055:SF7 (PANTHER); IPR000719 (PROSITE_PROFILES); SSF52058 (SUPERFAMILY); SSF52058 (SUPERFAMILY); IPR011009 (SUPERFAMILY),P:GO:0006468; F:GO:0004672; F:GO:0005515; F:GO:0005524,P:protein phosphorylation; F:protein kinase activity; F:protein binding; F:ATP binding
True,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",maker-Scaffold_61828_SNP_5464180-exonerate_protein2genome-gene-0.1-mRNA-2,RecName: Full=MDIS1-interacting receptor like kinase 2; Short=AtMIK2; AltName: Full=Probable LRR receptor-like serine/threonine-protein kinase At4g08850; Flags: Precursor,799,20.0,0.0,48.1,23.0,P:GO:0006833; P:GO:0009628; P:GO:0010015; P:GO:0010016; P:GO:0010033; P:GO:0010073; P:GO:0016310; P:GO:0030154; P:GO:0043170; P:GO:0044238; P:GO:0048437; P:GO:0048638; P:GO:0048878; P:GO:0050794; P:GO:0065001; P:GO:0090698; P:GO:0098542; P:GO:1905421; F:GO:0004672; F:GO:0005515; F:GO:0038023; C:GO:0016020; C:GO:0071944,P:water transport; P:response to abiotic stimulus; P:root morphogenesis; P:shoot system morphogenesis; P:response to organic substance; P:meristem maintenance; P:phosphorylation; P:cell differentiation; P:macromolecule metabolic process; P:primary metabolic process; P:floral organ development; P:regulation of developmental growth; P:chemical homeostasis; P:regulation of cellular process; P:specification of axis polarity; P:post-embryonic plant morphogenesis; P:defense response to other organism; P:regulation of plant organ morphogenesis; F:protein kinase activity; F:protein binding; F:signaling receptor activity; C:membrane; C:cell periphery,EC:2.7.1,Transferring phosphorus-containing groups,IPR003591 (SMART); G3DSA:3.30.200.20 (GENE3D); IPR032675 (G3DSA:3.80.10.GENE3D); IPR001245 (PFAM); IPR032675 (G3DSA:3.80.10.GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR001611 (PFAM); IPR013210 (PFAM); PTHR48055 (PANTHER); PTHR48055 (PANTHER); PTHR48055:SF7 (PANTHER); PTHR48055:SF7 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY); SSF52058 (SUPERFAMILY); SSF52058 (SUPERFAMILY),P:GO:0006468; F:GO:0004672; F:GO:0005515; F:GO:0005524,P:protein phosphorylation; F:protein kinase activity; F:protein binding; F:ATP binding
True,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",maker-Scaffold_63323_SNP_2650799-exonerate_protein2genome-gene-0.0-mRNA-4,"RecName: Full=Putative calcium-transporting ATPase 13, plasma membrane-type; AltName: Full=Ca(2+)-ATPase isoform 13",741,20.0,0.0,67.04,24.0,P:GO:0009409; P:GO:0009414; P:GO:0009555; P:GO:0031323; P:GO:0042742; P:GO:0043069; P:GO:0048585; P:GO:0051171; P:GO:0051239; P:GO:0055081; P:GO:0070588; P:GO:0080090; F:GO:0005262; F:GO:0005388; F:GO:0005516; F:GO:0005524; F:GO:0016887; F:GO:0046872; C:GO:0000325; C:GO:0005794; C:GO:0005887; C:GO:0005929; C:GO:0009706; C:GO:0031164,P:response to cold; P:response to water deprivation; P:pollen development; P:regulation of cellular metabolic process; P:defense response to bacterium; P:negative regulation of programmed cell death; P:negative regulation of response to stimulus; P:regulation of nitrogen compound metabolic process; P:regulation of multicellular organismal process; P:anion homeostasis; P:calcium ion transmembrane transport; P:regulation of primary metabolic process; F:calcium channel activity; F:P-type calcium transporter activity; F:calmodulin binding; F:ATP binding; F:ATP hydrolysis activity; F:metal ion binding; C:plant-type vacuole; C:Golgi apparatus; C:integral component of plasma membrane; C:cilium; C:chloroplast inner membrane; C:contractile vacuolar membrane,EC:3.6.1; EC:7.2.2.10,Acting on acid anhydrides; P-type Ca(2+) transporter,IPR001757 (PRINTS); PR00119 (PRINTS); PF00702 (PFAM); PF00122 (PFAM); IPR023214 (G3DSA:3.40.50.GENE3D); IPR001757 (TIGRFAM); G3DSA:1.20.1110.10 (GENE3D); IPR006068 (PFAM); IPR006408 (TIGRFAM); IPR023299 (G3DSA:3.40.1110.GENE3D); G3DSA:2.70.150.10 (GENE3D); IPR044492 (SFLD); SFLDS00003 (SFLD); PTHR24093 (PANTHER); PTHR24093:SF471 (PANTHER); IPR008250 (SUPERFAMILY); IPR036412 (SUPERFAMILY); IPR023299 (SUPERFAMILY); IPR023298 (SUPERFAMILY),P:GO:0070588; F:GO:0000166; F:GO:0005215; F:GO:0005388; F:GO:0005524; F:GO:0016887; C:GO:0016020; C:GO:0016021,P:calcium ion transmembrane transport; F:nucleotide binding; F:transporter activity; F:P-type calcium transporter activity; F:ATP binding; F:ATP hydrolysis activity; C:membrane; C:integral component of membrane
True,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",maker-Scaffold_63432_SNP_2670146-exonerate_protein2genome-gene-0.0-mRNA-4,RecName: Full=Signal transduction histidine-protein kinase BarA,715,20.0,0.0,59.72,43.0,P:GO:0000160; P:GO:0002237; P:GO:0006470; P:GO:0007231; P:GO:0008272; P:GO:0009414; P:GO:0009636; P:GO:0009651; P:GO:0009736; P:GO:0009909; P:GO:0009968; P:GO:0010029; P:GO:0010034; P:GO:0010086; P:GO:0010087; P:GO:0010119; P:GO:0010150; P:GO:0010271; P:GO:0016036; P:GO:0018106; P:GO:0030587; P:GO:0033500; P:GO:0034757; P:GO:0042542; P:GO:0042742; P:GO:0046777; P:GO:0048509; P:GO:0070417; P:GO:0071215; P:GO:0071329; P:GO:0080117; P:GO:1901425; F:GO:0000155; F:GO:0009885; F:GO:0009927; F:GO:0017018; F:GO:0019955; F:GO:0042802; F:GO:0043424; C:GO:0005635; C:GO:0005789; C:GO:0005886; C:GO:0016021,P:phosphorelay signal transduction system; P:response to molecule of bacterial origin; P:protein dephosphorylation; P:osmosensory signaling pathway; P:sulfate transport; P:response to water deprivation; P:response to toxic substance; P:response to salt stress; P:cytokinin-activated signaling pathway; P:regulation of flower development; P:negative regulation of signal transduction; P:regulation of seed germination; P:response to acetate; P:embryonic root morphogenesis; P:phloem or xylem histogenesis; P:regulation of stomatal movement; P:leaf senescence; P:regulation of chlorophyll catabolic process; P:cellular response to phosphate starvation; P:peptidyl-histidine phosphorylation; P:sorocarp development; P:carbohydrate homeostasis; P:negative regulation of iron ion transport; P:response to hydrogen peroxide; P:defense response to bacterium; P:protein autophosphorylation; P:regulation of meristem development; P:cellular response to cold; P:cellular response to abscisic acid stimulus; P:cellular response to sucrose stimulus; P:secondary growth; P:response to formic acid; F:phosphorelay sensor kinase activity; F:transmembrane histidine kinase cytokinin receptor activity; F:histidine phosphotransfer kinase activity; F:myosin phosphatase activity; F:cytokine binding; F:identical protein binding; F:protein histidine kinase binding; C:nuclear envelope; C:endoplasmic reticulum membrane; C:plasma membrane; C:integral component of membrane,EC:3.1.3.16; EC:2.7.3; EC:2.7.13.3,Protein-serine/threonine phosphatase; Transferring phosphorus-containing groups; Histidine kinase,IPR004358 (PRINTS); IPR003594 (SMART); IPR003661 (SMART); IPR001789 (SMART); IPR001789 (PFAM); IPR042240 (G3DSA:3.30.450.GENE3D); G3DSA:3.40.50.2300 (GENE3D); G3DSA:3.40.50.2300 (GENE3D); G3DSA:1.10.287.130 (GENE3D); IPR003661 (PFAM); IPR003594 (PFAM); IPR036890 (G3DSA:3.30.565.GENE3D); PTHR43719:SF51 (PANTHER); PTHR43719 (PANTHER); IPR001789 (PROSITE_PROFILES); IPR001789 (PROSITE_PROFILES); IPR005467 (PROSITE_PROFILES); cd17546 (CDD); IPR003661 (CDD); cd16922 (CDD); IPR011006 (SUPERFAMILY); IPR011006 (SUPERFAMILY); IPR036890 (SUPERFAMILY); IPR036097 (SUPERFAMILY),P:GO:0000160; P:GO:0007165; P:GO:0016310; F:GO:0000155; F:GO:0016772,"P:phosphorelay signal transduction system; P:signal transduction; P:phosphorylation; F:phosphorelay sensor kinase activity; F:transferase activity, transferring phosphorus-containing groups"
True,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",maker-Scaffold_62189_SNP_1927409-exonerate_est2genome-gene-0.0-mRNA-2,RecName: Full=ATP-binding cassette sub-family D member 1; AltName: Full=Adrenoleukodystrophy protein; Short=ALDP,708,20.0,0.0,54.95,37.0,P:GO:0001676; P:GO:0006633; P:GO:0006699; P:GO:0006725; P:GO:0007031; P:GO:0009410; P:GO:0009889; P:GO:0009892; P:GO:0014003; P:GO:0014070; P:GO:0015721; P:GO:0015910; P:GO:0015916; P:GO:0030301; P:GO:0030325; P:GO:0031288; P:GO:0031643; P:GO:0031998; P:GO:0036269; P:GO:0042760; P:GO:0045923; P:GO:0046483; P:GO:0055088; P:GO:0061744; P:GO:1901564; F:GO:0005324; F:GO:0005524; F:GO:0015607; F:GO:0016787; F:GO:0042802; F:GO:0043621; F:GO:0046983; C:GO:0005739; C:GO:0005764; C:GO:0005783; C:GO:0016021; C:GO:0046861,P:long-chain fatty acid metabolic process; P:fatty acid biosynthetic process; P:bile acid biosynthetic process; P:cellular aromatic compound metabolic process; P:peroxisome organization; P:response to xenobiotic stimulus; P:regulation of biosynthetic process; P:negative regulation of metabolic process; P:oligodendrocyte development; P:response to organic cyclic compound; P:bile acid and bile salt transport; P:long-chain fatty acid import into peroxisome; P:fatty-acyl-CoA transport; P:cholesterol transport; P:adrenal gland development; P:sorocarp morphogenesis; P:positive regulation of myelination; P:regulation of fatty acid beta-oxidation; P:swimming behavior; P:very long-chain fatty acid catabolic process; P:positive regulation of fatty acid metabolic process; P:heterocycle metabolic process; P:lipid homeostasis; P:motor behavior; P:organonitrogen compound metabolic process; F:long-chain fatty acid transporter activity; F:ATP binding; F:ABC-type fatty-acyl-CoA transporter activity; F:hydrolase activity; F:identical protein binding; F:protein self-association; F:protein dimerization activity; C:mitochondrion; C:lysosome; C:endoplasmic reticulum; C:integral component of membrane; C:glyoxysomal membrane,EC:7.6.2.4; EC:3,ABC-type fatty-acyl-CoA transporter; Hydrolases,IPR003593 (SMART); IPR036640 (G3DSA:1.20.1560.GENE3D); IPR011527 (PFAM); IPR003439 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); PTHR11384:SF56 (PANTHER); PTHR11384:SF56 (PANTHER); PTHR11384 (PANTHER); PTHR11384 (PANTHER); IPR011527 (PROSITE_PROFILES); IPR003439 (PROSITE_PROFILES); cd03223 (CDD); IPR036640 (SUPERFAMILY); IPR027417 (SUPERFAMILY),P:GO:0055085; F:GO:0005524; F:GO:0140359; C:GO:0016021,P:transmembrane transport; F:ATP binding; F:ABC-type transporter activity; C:integral component of membrane
True,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",maker-Scaffold_63432_SNP_2670146-exonerate_protein2genome-gene-0.0-mRNA-1,RecName: Full=Probable histidine kinase 1; Short=OsHK1,707,20.0,0.0,57.91,38.0,P:GO:0000160; P:GO:0006470; P:GO:0007231; P:GO:0008272; P:GO:0009414; P:GO:0009636; P:GO:0009651; P:GO:0009736; P:GO:0009909; P:GO:0009968; P:GO:0010029; P:GO:0010086; P:GO:0010087; P:GO:0010150; P:GO:0010271; P:GO:0016036; P:GO:0018106; P:GO:0030154; P:GO:0031154; P:GO:0033500; P:GO:0034757; P:GO:0042742; P:GO:0048509; P:GO:0070417; P:GO:0071215; P:GO:0071329; P:GO:0080117; F:GO:0000155; F:GO:0009885; F:GO:0017018; F:GO:0019955; F:GO:0042802; F:GO:0043424; C:GO:0005635; C:GO:0005789; C:GO:0005886; C:GO:0016021; C:GO:0098552,P:phosphorelay signal transduction system; P:protein dephosphorylation; P:osmosensory signaling pathway; P:sulfate transport; P:response to water deprivation; P:response to toxic substance; P:response to salt stress; P:cytokinin-activated signaling pathway; P:regulation of flower development; P:negative regulation of signal transduction; P:regulation of seed germination; P:embryonic root morphogenesis; P:phloem or xylem histogenesis; P:leaf senescence; P:regulation of chlorophyll catabolic process; P:cellular response to phosphate starvation; P:peptidyl-histidine phosphorylation; P:cell differentiation; P:culmination involved in sorocarp development; P:carbohydrate homeostasis; P:negative regulation of iron ion transport; P:defense response to bacterium; P:regulation of meristem development; P:cellular response to cold; P:cellular response to abscisic acid stimulus; P:cellular response to sucrose stimulus; P:secondary growth; F:phosphorelay sensor kinase activity; F:transmembrane histidine kinase cytokinin receptor activity; F:myosin phosphatase activity; F:cytokine binding; F:identical protein binding; F:protein histidine kinase binding; C:nuclear envelope; C:endoplasmic reticulum membrane; C:plasma membrane; C:integral component of membrane; C:side of membrane,EC:3.1.3.16; EC:2.7.3; EC:2.7.13.3,Protein-serine/threonine phosphatase; Transferring phosphorus-containing groups; Histidine kinase,IPR004358 (PRINTS); IPR001789 (SMART); IPR003594 (SMART); IPR003661 (SMART); G3DSA:3.40.50.2300 (GENE3D); G3DSA:3.40.50.2300 (GENE3D); IPR003661 (PFAM); G3DSA:1.10.287.130 (GENE3D); IPR042240 (G3DSA:3.30.450.GENE3D); IPR036890 (G3DSA:3.30.565.GENE3D); IPR003594 (PFAM); IPR001789 (PFAM); PTHR43719:SF51 (PANTHER); PTHR43719 (PANTHER); IPR001789 (PROSITE_PROFILES); IPR005467 (PROSITE_PROFILES); IPR001789 (PROSITE_PROFILES); cd17546 (CDD); IPR003661 (CDD); cd16922 (CDD); IPR011006 (SUPERFAMILY); IPR036097 (SUPERFAMILY); IPR011006 (SUPERFAMILY); IPR036890 (SUPERFAMILY),P:GO:0000160; P:GO:0007165; P:GO:0016310; F:GO:0000155; F:GO:0016772,"P:phosphorelay signal transduction system; P:signal transduction; P:phosphorylation; F:phosphorelay sensor kinase activity; F:transferase activity, transferring phosphorus-containing groups"
True,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",maker-Scaffold_63432_SNP_2670146-exonerate_protein2genome-gene-0.0-mRNA-2,RecName: Full=Signal transduction histidine-protein kinase BarA,696,20.0,0.0,57.01,38.0,P:GO:0000160; P:GO:0006470; P:GO:0007231; P:GO:0008272; P:GO:0009414; P:GO:0009636; P:GO:0009651; P:GO:0009736; P:GO:0009909; P:GO:0010029; P:GO:0010086; P:GO:0010087; P:GO:0010150; P:GO:0010271; P:GO:0016036; P:GO:0018106; P:GO:0030587; P:GO:0033500; P:GO:0034757; P:GO:0042542; P:GO:0042742; P:GO:0048509; P:GO:0048584; P:GO:0070417; P:GO:0071215; P:GO:0071329; P:GO:0080117; P:GO:1900430; F:GO:0000155; F:GO:0009885; F:GO:0017018; F:GO:0019955; F:GO:0042802; F:GO:0043424; C:GO:0005634; C:GO:0005789; C:GO:0005886; C:GO:0016021,P:phosphorelay signal transduction system; P:protein dephosphorylation; P:osmosensory signaling pathway; P:sulfate transport; P:response to water deprivation; P:response to toxic substance; P:response to salt stress; P:cytokinin-activated signaling pathway; P:regulation of flower development; P:regulation of seed germination; P:embryonic root morphogenesis; P:phloem or xylem histogenesis; P:leaf senescence; P:regulation of chlorophyll catabolic process; P:cellular response to phosphate starvation; P:peptidyl-histidine phosphorylation; P:sorocarp development; P:carbohydrate homeostasis; P:negative regulation of iron ion transport; P:response to hydrogen peroxide; P:defense response to bacterium; P:regulation of meristem development; P:positive regulation of response to stimulus; P:cellular response to cold; P:cellular response to abscisic acid stimulus; P:cellular response to sucrose stimulus; P:secondary growth; P:positive regulation of filamentous growth of a population of unicellular organisms; F:phosphorelay sensor kinase activity; F:transmembrane histidine kinase cytokinin receptor activity; F:myosin phosphatase activity; F:cytokine binding; F:identical protein binding; F:protein histidine kinase binding; C:nucleus; C:endoplasmic reticulum membrane; C:plasma membrane; C:integral component of membrane,EC:3.1.3.16; EC:2.7.3; EC:2.7.13.3,Protein-serine/threonine phosphatase; Transferring phosphorus-containing groups; Histidine kinase,IPR004358 (PRINTS); IPR001789 (SMART); IPR003594 (SMART); IPR003661 (SMART); G3DSA:3.40.50.2300 (GENE3D); G3DSA:1.10.287.130 (GENE3D); IPR042240 (G3DSA:3.30.450.GENE3D); IPR003661 (PFAM); G3DSA:3.40.50.2300 (GENE3D); IPR036890 (G3DSA:3.30.565.GENE3D); IPR001789 (PFAM); IPR003594 (PFAM); PTHR43719:SF51 (PANTHER); PTHR43719 (PANTHER); IPR005467 (PROSITE_PROFILES); IPR001789 (PROSITE_PROFILES); IPR001789 (PROSITE_PROFILES); IPR006189 (PROSITE_PROFILES); IPR003661 (CDD); cd16922 (CDD); cd17546 (CDD); IPR011006 (SUPERFAMILY); IPR011006 (SUPERFAMILY); IPR036890 (SUPERFAMILY); IPR036097 (SUPERFAMILY),P:GO:0000160; P:GO:0007165; P:GO:0016310; F:GO:0000155; F:GO:0016772,"P:phosphorelay signal transduction system; P:signal transduction; P:phosphorylation; F:phosphorelay sensor kinase activity; F:transferase activity, transferring phosphorus-containing groups"
True,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",maker-Scaffold_61828_SNP_5464180-exonerate_protein2genome-gene-0.1-mRNA-6,RecName: Full=Probable leucine-rich repeat receptor-like protein kinase At1g35710; Flags: Precursor,685,20.0,3.6360000000000002e-109,49.44,22.0,P:GO:0006468; P:GO:0006810; P:GO:0006952; P:GO:0009605; P:GO:0009790; P:GO:0010078; P:GO:0010082; P:GO:0022603; P:GO:0030154; P:GO:0033036; P:GO:0048229; P:GO:0048437; P:GO:0048646; P:GO:0048878; P:GO:0050794; P:GO:2000280; F:GO:0001653; F:GO:0005102; F:GO:0019199; F:GO:0042277; C:GO:0016020; C:GO:0071944,P:protein phosphorylation; P:transport; P:defense response; P:response to external stimulus; P:embryo development; P:maintenance of root meristem identity; P:regulation of root meristem growth; P:regulation of anatomical structure morphogenesis; P:cell differentiation; P:macromolecule localization; P:gametophyte development; P:floral organ development; P:anatomical structure formation involved in morphogenesis; P:chemical homeostasis; P:regulation of cellular process; P:regulation of root development; F:peptide receptor activity; F:signaling receptor binding; F:transmembrane receptor protein kinase activity; F:peptide binding; C:membrane; C:cell periphery,EC:2.7.1,Transferring phosphorus-containing groups,IPR003591 (SMART); IPR032675 (G3DSA:3.80.10.GENE3D); IPR001611 (PFAM); IPR001245 (PFAM); G3DSA:1.10.510.10 (GENE3D); IPR032675 (G3DSA:3.80.10.GENE3D); IPR032675 (G3DSA:3.80.10.GENE3D); IPR013210 (PFAM); PTHR48055:SF7 (PANTHER); PTHR48055 (PANTHER); PTHR48055 (PANTHER); PTHR48055 (PANTHER); PTHR48055:SF7 (PANTHER); PTHR48055:SF7 (PANTHER); PTHR48055 (PANTHER); IPR000719 (PROSITE_PROFILES); SSF52058 (SUPERFAMILY); SSF52058 (SUPERFAMILY); IPR011009 (SUPERFAMILY),P:GO:0006468; F:GO:0004672; F:GO:0005515; F:GO:0005524,P:protein phosphorylation; F:protein kinase activity; F:protein binding; F:ATP binding
True,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",maker-Scaffold_61828_SNP_5464180-exonerate_protein2genome-gene-0.1-mRNA-10,RecName: Full=MDIS1-interacting receptor like kinase 2; Short=AtMIK2; AltName: Full=Probable LRR receptor-like serine/threonine-protein kinase At4g08850; Flags: Precursor,680,20.0,3.98918e-139,52.35,32.0,P:GO:0001558; P:GO:0003002; P:GO:0006833; P:GO:0009725; P:GO:0009889; P:GO:0010015; P:GO:0010016; P:GO:0010074; P:GO:0010075; P:GO:0010286; P:GO:0030154; P:GO:0048229; P:GO:0048437; P:GO:0048584; P:GO:0048646; P:GO:0048827; P:GO:0048878; P:GO:0051716; P:GO:0065001; P:GO:0071555; P:GO:0080134; P:GO:0090698; P:GO:0098542; P:GO:1905421; P:GO:2000023; P:GO:2000241; F:GO:0004674; F:GO:0005102; F:GO:0019199; F:GO:0042277; C:GO:0016020; C:GO:0071944,P:regulation of cell growth; P:regionalization; P:water transport; P:response to hormone; P:regulation of biosynthetic process; P:root morphogenesis; P:shoot system morphogenesis; P:maintenance of meristem identity; P:regulation of meristem growth; P:heat acclimation; P:cell differentiation; P:gametophyte development; P:floral organ development; P:positive regulation of response to stimulus; P:anatomical structure formation involved in morphogenesis; P:phyllome development; P:chemical homeostasis; P:cellular response to stimulus; P:specification of axis polarity; P:cell wall organization; P:regulation of response to stress; P:post-embryonic plant morphogenesis; P:defense response to other organism; P:regulation of plant organ morphogenesis; P:regulation of lateral root development; P:regulation of reproductive process; F:protein serine/threonine kinase activity; F:signaling receptor binding; F:transmembrane receptor protein kinase activity; F:peptide binding; C:membrane; C:cell periphery,EC:2.7.1,Transferring phosphorus-containing groups,IPR003591 (SMART); IPR001611 (PFAM); G3DSA:3.30.200.20 (GENE3D); IPR032675 (G3DSA:3.80.10.GENE3D); IPR032675 (G3DSA:3.80.10.GENE3D); IPR000719 (PFAM); IPR013210 (PFAM); G3DSA:1.10.510.10 (GENE3D); PTHR48052:SF5 (PANTHER); PTHR48052:SF5 (PANTHER); PTHR48052 (PANTHER); PTHR48052 (PANTHER); PTHR48052:SF5 (PANTHER); IPR000719 (PROSITE_PROFILES); SSF52058 (SUPERFAMILY); IPR011009 (SUPERFAMILY),P:GO:0006468; F:GO:0004672; F:GO:0005515; F:GO:0005524,P:protein phosphorylation; F:protein kinase activity; F:protein binding; F:ATP binding
