	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_61434_SNP_9194665-exonerate_est2genome-gene-0.0-mRNA-1	RecName: Full=Vacuolar protein sorting-associated protein 13C	844	19	1.51715E-33	47.64	18	P:GO:0000045; P:GO:0007005; P:GO:0007610; P:GO:0008104; P:GO:0010243; P:GO:0019538; P:GO:0022414; P:GO:0031154; P:GO:0046907; P:GO:0051128; P:GO:0071702; P:GO:1901700; F:GO:0005515; C:GO:0005764; C:GO:0005783; C:GO:0010008; C:GO:0031966; C:GO:0098992	P:autophagosome assembly; P:mitochondrion organization; P:behavior; P:protein localization; P:response to organonitrogen compound; P:protein metabolic process; P:reproductive process; P:culmination involved in sorocarp development; P:intracellular transport; P:regulation of cellular component organization; P:organic substance transport; P:response to oxygen-containing compound; F:protein binding; C:lysosome; C:endoplasmic reticulum; C:endosome membrane; C:mitochondrial membrane; C:neuronal dense core vesicle			IPR031645 (PFAM); IPR009543 (PFAM); PTHR45523 (PANTHER); PTHR45523:SF2 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_61434_SNP_9194665-exonerate_est2genome-gene-0.0-mRNA-2	RecName: Full=Vacuolar protein sorting-associated protein 13C	844	19	1.51715E-33	47.64	18	P:GO:0000045; P:GO:0007005; P:GO:0007610; P:GO:0008104; P:GO:0010243; P:GO:0019538; P:GO:0022414; P:GO:0031154; P:GO:0046907; P:GO:0051128; P:GO:0071702; P:GO:1901700; F:GO:0005515; C:GO:0005764; C:GO:0005783; C:GO:0010008; C:GO:0031966; C:GO:0098992	P:autophagosome assembly; P:mitochondrion organization; P:behavior; P:protein localization; P:response to organonitrogen compound; P:protein metabolic process; P:reproductive process; P:culmination involved in sorocarp development; P:intracellular transport; P:regulation of cellular component organization; P:organic substance transport; P:response to oxygen-containing compound; F:protein binding; C:lysosome; C:endoplasmic reticulum; C:endosome membrane; C:mitochondrial membrane; C:neuronal dense core vesicle			IPR031645 (PFAM); IPR009543 (PFAM); PTHR45523 (PANTHER); PTHR45523:SF2 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_62540_SNP_1173139-exonerate_protein2genome-gene-0.1-mRNA-17	RecName: Full=Pentatricopeptide repeat-containing protein At1g20230	754	20	0.0	56.64	9	P:GO:0010051; P:GO:0031425; P:GO:0031426; P:GO:0048366; P:GO:0080156; F:GO:0003729; F:GO:0005515; F:GO:0008270; C:GO:0009507	P:xylem and phloem pattern formation; P:chloroplast RNA processing; P:polycistronic mRNA processing; P:leaf development; P:mitochondrial mRNA modification; F:mRNA binding; F:protein binding; F:zinc ion binding; C:chloroplast			IPR002885 (PFAM); IPR002885 (TIGRFAM); IPR032867 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); IPR002885 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); PTHR47926:SF19 (PANTHER); PTHR47926 (PANTHER); PTHR47926 (PANTHER); PTHR47926:SF19 (PANTHER); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES)	F:GO:0005515; F:GO:0008270	F:protein binding; F:zinc ion binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_62540_SNP_1173139-exonerate_protein2genome-gene-0.1-mRNA-4	RecName: Full=Pentatricopeptide repeat-containing protein At1g20230	652	20	0.0	57.35	15	P:GO:0010087; P:GO:0010214; P:GO:0010305; P:GO:0010588; P:GO:0016554; P:GO:0031425; P:GO:0031426; P:GO:0080156; P:GO:0140547; P:GO:1900865; F:GO:0003729; F:GO:0004519; F:GO:0005515; F:GO:0008270; C:GO:0009507	P:phloem or xylem histogenesis; P:seed coat development; P:leaf vascular tissue pattern formation; P:cotyledon vascular tissue pattern formation; P:cytidine to uridine editing; P:chloroplast RNA processing; P:polycistronic mRNA processing; P:mitochondrial mRNA modification; P:acquisition of seed longevity; P:chloroplast RNA modification; F:mRNA binding; F:endonuclease activity; F:protein binding; F:zinc ion binding; C:chloroplast	EC:3.1	Acting on ester bonds	IPR011990 (G3DSA:1.25.40.GENE3D); IPR002885 (TIGRFAM); IPR032867 (PFAM); IPR002885 (PFAM); IPR002885 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); PTHR47926 (PANTHER); PTHR47926:SF19 (PANTHER); PTHR47926 (PANTHER); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR011990 (SUPERFAMILY)	F:GO:0005515; F:GO:0008270	F:protein binding; F:zinc ion binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_62942_SNP_1452977-exonerate_est2genome-gene-0.0-mRNA-1	RecName: Full=L-ascorbate oxidase; Short=ASO; Short=Ascorbase; Flags: Precursor	641	20	0.0	53.82	7	P:GO:0006950; P:GO:0009932; F:GO:0005507; F:GO:0016491; C:GO:0005576; C:GO:0009505; C:GO:0046658	P:response to stress; P:cell tip growth; F:copper ion binding; F:oxidoreductase activity; C:extracellular region; C:plant-type cell wall; C:anchored component of plasma membrane	EC:1	Oxidoreductases	IPR011706 (PFAM); IPR001117 (PFAM); IPR008972 (G3DSA:2.60.40.GENE3D); IPR008972 (G3DSA:2.60.40.GENE3D); IPR011707 (PFAM); IPR008972 (G3DSA:2.60.40.GENE3D); PTHR11709:SF270 (PANTHER); IPR045087 (PANTHER); IPR008972 (SUPERFAMILY); IPR008972 (SUPERFAMILY); IPR008972 (SUPERFAMILY)	F:GO:0005507; F:GO:0016491	F:copper ion binding; F:oxidoreductase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_62480_SNP_2374442-exonerate_est2genome-gene-0.0-mRNA-1	RecName: Full=Puromycin-sensitive aminopeptidase; Short=PSA; AltName: Full=Cytosol alanyl aminopeptidase; Short=AAP-S	637	20	0.0	62.66	32	P:GO:0000209; P:GO:0003081; P:GO:0008595; P:GO:0009792; P:GO:0009926; P:GO:0016485; P:GO:0030590; P:GO:0043171; P:GO:0046662; P:GO:0048731; P:GO:0051661; P:GO:0071456; P:GO:0120113; P:GO:1900195; P:GO:1903538; P:GO:1990947; F:GO:0005515; F:GO:0008270; F:GO:0010013; F:GO:0042277; F:GO:0070006; C:GO:0000328; C:GO:0000793; C:GO:0005576; C:GO:0005771; C:GO:0005783; C:GO:0005829; C:GO:0005903; C:GO:0045177; C:GO:0061957; C:GO:0097431; C:GO:0098590	P:protein polyubiquitination; P:regulation of systemic arterial blood pressure by renin-angiotensin; P:anterior/posterior axis specification, embryo; P:embryo development ending in birth or egg hatching; P:auxin polar transport; P:protein processing; P:first cell cycle pseudocleavage; P:peptide catabolic process; P:regulation of oviposition; P:system development; P:maintenance of centrosome location; P:cellular response to hypoxia; P:cytoplasm to vacuole transport by the NVT pathway; P:positive regulation of oocyte maturation; P:regulation of meiotic cell cycle process involved in oocyte maturation; P:exit from meiosis; F:protein binding; F:zinc ion binding; F:N-1-naphthylphthalamic acid binding; F:peptide binding; F:metalloaminopeptidase activity; C:fungal-type vacuole lumen; C:condensed chromosome; C:extracellular region; C:multivesicular body; C:endoplasmic reticulum; C:cytosol; C:brush border; C:apical part of cell; C:NVT complex; C:mitotic spindle pole; C:plasma membrane region	EC:3.4.11	Acting on peptide bonds (peptidases)	IPR001930 (PRINTS); G3DSA:2.60.40.1910 (GENE3D); IPR014782 (PFAM); IPR027268 (G3DSA:1.10.390.GENE3D); IPR024571 (PFAM); G3DSA:1.25.50.20 (GENE3D); IPR042097 (G3DSA:2.60.40.GENE3D); IPR045357 (PFAM); PTHR11533 (PANTHER); PTHR11533:SF269 (PANTHER); IPR034016 (CDD); SSF55486 (SUPERFAMILY); IPR042097 (SUPERFAMILY)	P:GO:0006508; F:GO:0008237; F:GO:0008270	P:proteolysis; F:metallopeptidase activity; F:zinc ion binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_62480_SNP_2374442-exonerate_est2genome-gene-0.0-mRNA-2	RecName: Full=Puromycin-sensitive aminopeptidase; Short=PSA; AltName: Full=Cytosol alanyl aminopeptidase; Short=AAP-S	637	20	0.0	62.66	32	P:GO:0000209; P:GO:0003081; P:GO:0008595; P:GO:0009792; P:GO:0009926; P:GO:0016485; P:GO:0030590; P:GO:0043171; P:GO:0046662; P:GO:0048731; P:GO:0051661; P:GO:0071456; P:GO:0120113; P:GO:1900195; P:GO:1903538; P:GO:1990947; F:GO:0005515; F:GO:0008270; F:GO:0010013; F:GO:0042277; F:GO:0070006; C:GO:0000328; C:GO:0000793; C:GO:0005576; C:GO:0005771; C:GO:0005783; C:GO:0005829; C:GO:0005903; C:GO:0045177; C:GO:0061957; C:GO:0097431; C:GO:0098590	P:protein polyubiquitination; P:regulation of systemic arterial blood pressure by renin-angiotensin; P:anterior/posterior axis specification, embryo; P:embryo development ending in birth or egg hatching; P:auxin polar transport; P:protein processing; P:first cell cycle pseudocleavage; P:peptide catabolic process; P:regulation of oviposition; P:system development; P:maintenance of centrosome location; P:cellular response to hypoxia; P:cytoplasm to vacuole transport by the NVT pathway; P:positive regulation of oocyte maturation; P:regulation of meiotic cell cycle process involved in oocyte maturation; P:exit from meiosis; F:protein binding; F:zinc ion binding; F:N-1-naphthylphthalamic acid binding; F:peptide binding; F:metalloaminopeptidase activity; C:fungal-type vacuole lumen; C:condensed chromosome; C:extracellular region; C:multivesicular body; C:endoplasmic reticulum; C:cytosol; C:brush border; C:apical part of cell; C:NVT complex; C:mitotic spindle pole; C:plasma membrane region	EC:3.4.11	Acting on peptide bonds (peptidases)	IPR001930 (PRINTS); IPR042097 (G3DSA:2.60.40.GENE3D); G3DSA:1.25.50.20 (GENE3D); IPR014782 (PFAM); IPR024571 (PFAM); IPR027268 (G3DSA:1.10.390.GENE3D); G3DSA:2.60.40.1910 (GENE3D); IPR045357 (PFAM); PTHR11533:SF269 (PANTHER); PTHR11533 (PANTHER); IPR034016 (CDD); IPR042097 (SUPERFAMILY); SSF55486 (SUPERFAMILY)	P:GO:0006508; F:GO:0008237; F:GO:0008270	P:proteolysis; F:metallopeptidase activity; F:zinc ion binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_62480_SNP_2374442-exonerate_est2genome-gene-0.0-mRNA-3	RecName: Full=Puromycin-sensitive aminopeptidase; Short=PSA; AltName: Full=Cytosol alanyl aminopeptidase; Short=AAP-S	523	20	0.0	61.01	30	P:GO:0003081; P:GO:0008595; P:GO:0009792; P:GO:0009926; P:GO:0016485; P:GO:0030590; P:GO:0043171; P:GO:0046662; P:GO:0048731; P:GO:0051661; P:GO:0071456; P:GO:0120113; P:GO:1900195; P:GO:1903538; P:GO:1990947; F:GO:0005515; F:GO:0008270; F:GO:0010013; F:GO:0042277; F:GO:0070006; C:GO:0000328; C:GO:0000793; C:GO:0005771; C:GO:0005783; C:GO:0005829; C:GO:0005903; C:GO:0045177; C:GO:0061957; C:GO:0097431; C:GO:0098590	P:regulation of systemic arterial blood pressure by renin-angiotensin; P:anterior/posterior axis specification, embryo; P:embryo development ending in birth or egg hatching; P:auxin polar transport; P:protein processing; P:first cell cycle pseudocleavage; P:peptide catabolic process; P:regulation of oviposition; P:system development; P:maintenance of centrosome location; P:cellular response to hypoxia; P:cytoplasm to vacuole transport by the NVT pathway; P:positive regulation of oocyte maturation; P:regulation of meiotic cell cycle process involved in oocyte maturation; P:exit from meiosis; F:protein binding; F:zinc ion binding; F:N-1-naphthylphthalamic acid binding; F:peptide binding; F:metalloaminopeptidase activity; C:fungal-type vacuole lumen; C:condensed chromosome; C:multivesicular body; C:endoplasmic reticulum; C:cytosol; C:brush border; C:apical part of cell; C:NVT complex; C:mitotic spindle pole; C:plasma membrane region	EC:3.4.11	Acting on peptide bonds (peptidases)	IPR001930 (PRINTS); IPR027268 (G3DSA:1.10.390.GENE3D); IPR014782 (PFAM); G3DSA:1.25.50.20 (GENE3D); IPR024571 (PFAM); G3DSA:2.60.40.1910 (GENE3D); PTHR11533:SF269 (PANTHER); PTHR11533 (PANTHER); IPR034016 (CDD); SSF55486 (SUPERFAMILY)	P:GO:0006508; F:GO:0008237; F:GO:0008270	P:proteolysis; F:metallopeptidase activity; F:zinc ion binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_62540_SNP_1173139-exonerate_protein2genome-gene-0.1-mRNA-5	RecName: Full=Pentatricopeptide repeat-containing protein At1g20230	521	20	0.0	62.25	14	P:GO:0010087; P:GO:0010214; P:GO:0010305; P:GO:0010588; P:GO:0016554; P:GO:0031425; P:GO:0031426; P:GO:0080156; P:GO:0140547; P:GO:1900865; F:GO:0003729; F:GO:0005515; F:GO:0008270; C:GO:0009507	P:phloem or xylem histogenesis; P:seed coat development; P:leaf vascular tissue pattern formation; P:cotyledon vascular tissue pattern formation; P:cytidine to uridine editing; P:chloroplast RNA processing; P:polycistronic mRNA processing; P:mitochondrial mRNA modification; P:acquisition of seed longevity; P:chloroplast RNA modification; F:mRNA binding; F:protein binding; F:zinc ion binding; C:chloroplast			IPR002885 (TIGRFAM); IPR002885 (PFAM); IPR002885 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR032867 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); PTHR47926:SF19 (PANTHER); PTHR47926 (PANTHER); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES)	F:GO:0005515; F:GO:0008270	F:protein binding; F:zinc ion binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_62540_SNP_1173139-exonerate_protein2genome-gene-0.1-mRNA-1	RecName: Full=Pentatricopeptide repeat-containing protein At1g20230	514	20	0.0	63.95	14	P:GO:0010087; P:GO:0010214; P:GO:0010305; P:GO:0010588; P:GO:0031425; P:GO:0031426; P:GO:0080156; P:GO:0140547; P:GO:1900865; F:GO:0003729; F:GO:0004519; F:GO:0005515; F:GO:0008270; C:GO:0009507	P:phloem or xylem histogenesis; P:seed coat development; P:leaf vascular tissue pattern formation; P:cotyledon vascular tissue pattern formation; P:chloroplast RNA processing; P:polycistronic mRNA processing; P:mitochondrial mRNA modification; P:acquisition of seed longevity; P:chloroplast RNA modification; F:mRNA binding; F:endonuclease activity; F:protein binding; F:zinc ion binding; C:chloroplast	EC:3.1	Acting on ester bonds	IPR002885 (PFAM); IPR032867 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); IPR002885 (TIGRFAM); IPR002885 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); PTHR47926:SF19 (PANTHER); PTHR47926 (PANTHER); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES)	F:GO:0005515; F:GO:0008270	F:protein binding; F:zinc ion binding
