	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_62189_SNP_1927409-exonerate_est2genome-gene-0.0-mRNA-2	RecName: Full=ATP-binding cassette sub-family D member 1; AltName: Full=Adrenoleukodystrophy protein; Short=ALDP	708	20	0.0	54.95	37	P:GO:0001676; P:GO:0006633; P:GO:0006699; P:GO:0006725; P:GO:0007031; P:GO:0009410; P:GO:0009889; P:GO:0009892; P:GO:0014003; P:GO:0014070; P:GO:0015721; P:GO:0015910; P:GO:0015916; P:GO:0030301; P:GO:0030325; P:GO:0031288; P:GO:0031643; P:GO:0031998; P:GO:0036269; P:GO:0042760; P:GO:0045923; P:GO:0046483; P:GO:0055088; P:GO:0061744; P:GO:1901564; F:GO:0005324; F:GO:0005524; F:GO:0015607; F:GO:0016787; F:GO:0042802; F:GO:0043621; F:GO:0046983; C:GO:0005739; C:GO:0005764; C:GO:0005783; C:GO:0016021; C:GO:0046861	P:long-chain fatty acid metabolic process; P:fatty acid biosynthetic process; P:bile acid biosynthetic process; P:cellular aromatic compound metabolic process; P:peroxisome organization; P:response to xenobiotic stimulus; P:regulation of biosynthetic process; P:negative regulation of metabolic process; P:oligodendrocyte development; P:response to organic cyclic compound; P:bile acid and bile salt transport; P:long-chain fatty acid import into peroxisome; P:fatty-acyl-CoA transport; P:cholesterol transport; P:adrenal gland development; P:sorocarp morphogenesis; P:positive regulation of myelination; P:regulation of fatty acid beta-oxidation; P:swimming behavior; P:very long-chain fatty acid catabolic process; P:positive regulation of fatty acid metabolic process; P:heterocycle metabolic process; P:lipid homeostasis; P:motor behavior; P:organonitrogen compound metabolic process; F:long-chain fatty acid transporter activity; F:ATP binding; F:ABC-type fatty-acyl-CoA transporter activity; F:hydrolase activity; F:identical protein binding; F:protein self-association; F:protein dimerization activity; C:mitochondrion; C:lysosome; C:endoplasmic reticulum; C:integral component of membrane; C:glyoxysomal membrane	EC:7.6.2.4; EC:3	ABC-type fatty-acyl-CoA transporter; Hydrolases	IPR003593 (SMART); IPR036640 (G3DSA:1.20.1560.GENE3D); IPR011527 (PFAM); IPR003439 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); PTHR11384:SF56 (PANTHER); PTHR11384:SF56 (PANTHER); PTHR11384 (PANTHER); PTHR11384 (PANTHER); IPR003439 (PROSITE_PROFILES); IPR011527 (PROSITE_PROFILES); cd03223 (CDD); IPR036640 (SUPERFAMILY); IPR027417 (SUPERFAMILY)	P:GO:0055085; F:GO:0005524; F:GO:0140359; C:GO:0016021	P:transmembrane transport; F:ATP binding; F:ABC-type transporter activity; C:integral component of membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_62189_SNP_1927409-exonerate_est2genome-gene-0.0-mRNA-1	RecName: Full=ATP-binding cassette sub-family D member 1; AltName: Full=Adrenoleukodystrophy protein; Short=ALDP	632	20	0.0	55.54	38	P:GO:0001676; P:GO:0006633; P:GO:0006699; P:GO:0007031; P:GO:0009410; P:GO:0009889; P:GO:0009892; P:GO:0014003; P:GO:0014070; P:GO:0015721; P:GO:0015910; P:GO:0015916; P:GO:0030301; P:GO:0030325; P:GO:0031288; P:GO:0031643; P:GO:0031998; P:GO:0036113; P:GO:0036269; P:GO:0042760; P:GO:0045923; P:GO:0055088; P:GO:0061744; F:GO:0005324; F:GO:0005524; F:GO:0015607; F:GO:0016787; F:GO:0019899; F:GO:0042803; F:GO:0043531; F:GO:0043621; C:GO:0005739; C:GO:0005765; C:GO:0005789; C:GO:0005886; C:GO:0016021; C:GO:0046861; C:GO:0048471	P:long-chain fatty acid metabolic process; P:fatty acid biosynthetic process; P:bile acid biosynthetic process; P:peroxisome organization; P:response to xenobiotic stimulus; P:regulation of biosynthetic process; P:negative regulation of metabolic process; P:oligodendrocyte development; P:response to organic cyclic compound; P:bile acid and bile salt transport; P:long-chain fatty acid import into peroxisome; P:fatty-acyl-CoA transport; P:cholesterol transport; P:adrenal gland development; P:sorocarp morphogenesis; P:positive regulation of myelination; P:regulation of fatty acid beta-oxidation; P:very long-chain fatty-acyl-CoA catabolic process; P:swimming behavior; P:very long-chain fatty acid catabolic process; P:positive regulation of fatty acid metabolic process; P:lipid homeostasis; P:motor behavior; F:long-chain fatty acid transporter activity; F:ATP binding; F:ABC-type fatty-acyl-CoA transporter activity; F:hydrolase activity; F:enzyme binding; F:protein homodimerization activity; F:ADP binding; F:protein self-association; C:mitochondrion; C:lysosomal membrane; C:endoplasmic reticulum membrane; C:plasma membrane; C:integral component of membrane; C:glyoxysomal membrane; C:perinuclear region of cytoplasm	EC:7.6.2.4; EC:3	ABC-type fatty-acyl-CoA transporter; Hydrolases	IPR003593 (SMART); IPR003439 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR036640 (G3DSA:1.20.1560.GENE3D); IPR011527 (PFAM); PTHR11384 (PANTHER); PTHR11384:SF56 (PANTHER); PTHR11384:SF56 (PANTHER); PTHR11384 (PANTHER); IPR011527 (PROSITE_PROFILES); IPR003439 (PROSITE_PROFILES); cd03223 (CDD); IPR036640 (SUPERFAMILY); IPR027417 (SUPERFAMILY)	P:GO:0055085; F:GO:0005524; F:GO:0140359; C:GO:0016021	P:transmembrane transport; F:ATP binding; F:ABC-type transporter activity; C:integral component of membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_9534_SNP_2850933-exonerate_est2genome-gene-0.0-mRNA-1	RecName: Full=Tyrosine-specific transport protein; AltName: Full=Tyrosine permease	524	3	1.65937E-9	44.25	1	C:GO:0016020	C:membrane			IPR018227 (PFAM); G3DSA:1.20.1740.10 (GENE3D); PIRSF006060 (PIRSF); PTHR47715 (PANTHER)	P:GO:0003333	P:amino acid transmembrane transport
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_4057_SNP_1779621-exonerate_est2genome-gene-0.0-mRNA-1	RecName: Full=Mitogen-activated protein kinase kinase kinase 3; AltName: Full=MAPK/ERK kinase kinase 3; Short=MEK kinase 3; Short=MEKK 3	499	20	0.0	66.23	40	P:GO:0000196; P:GO:0000919; P:GO:0002221; P:GO:0006979; P:GO:0009611; P:GO:0009631; P:GO:0010098; P:GO:0010103; P:GO:0010200; P:GO:0010229; P:GO:0010449; P:GO:0010514; P:GO:0030587; P:GO:0043123; P:GO:0043622; P:GO:0045088; P:GO:0045893; P:GO:0046777; P:GO:0071260; P:GO:0071507; P:GO:0071864; P:GO:0090050; P:GO:1900150; P:GO:1900424; P:GO:1900745; P:GO:1902065; P:GO:2000071; P:GO:2000773; F:GO:0000166; F:GO:0004709; F:GO:0019901; F:GO:0043167; C:GO:0000935; C:GO:0005654; C:GO:0005768; C:GO:0005829; C:GO:0005886; C:GO:0005938; C:GO:0009524; C:GO:0051286	P:cell wall integrity MAPK cascade; P:cell plate assembly; P:pattern recognition receptor signaling pathway; P:response to oxidative stress; P:response to wounding; P:cold acclimation; P:suspensor development; P:stomatal complex morphogenesis; P:response to chitin; P:inflorescence development; P:root meristem growth; P:induction of conjugation with cellular fusion; P:sorocarp development; P:positive regulation of I-kappaB kinase/NF-kappaB signaling; P:cortical microtubule organization; P:regulation of innate immune response; P:positive regulation of transcription, DNA-templated; P:protein autophosphorylation; P:cellular response to mechanical stimulus; P:pheromone response MAPK cascade; P:positive regulation of cell proliferation in bone marrow; P:positive regulation of cell migration involved in sprouting angiogenesis; P:regulation of defense response to fungus; P:regulation of defense response to bacterium; P:positive regulation of p38MAPK cascade; P:response to L-glutamate; P:regulation of defense response by callose deposition; P:negative regulation of cellular senescence; F:nucleotide binding; F:MAP kinase kinase kinase activity; F:protein kinase binding; F:ion binding; C:division septum; C:nucleoplasm; C:endosome; C:cytosol; C:plasma membrane; C:cell cortex; C:phragmoplast; C:cell tip	EC:2.7.11.25	Mitogen-activated protein kinase kinase kinase	IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR48016 (PANTHER); PTHR48016:SF8 (PANTHER); IPR000719 (PROSITE_PROFILES); cd06632 (CDD); IPR011009 (SUPERFAMILY)	P:GO:0006468; F:GO:0004672; F:GO:0005524	P:protein phosphorylation; F:protein kinase activity; F:ATP binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_62359_SNP_273498-exonerate_est2genome-gene-0.0-mRNA-1	RecName: Full=Bifunctional uridylyltransferase/uridylyl-removing enzyme; Short=UTase/UR; AltName: Full=Bifunctional [protein-PII] modification enzyme; AltName: Full=Bifunctional nitrogen sensor protein; Includes: RecName: Full=[Protein-PII] uridylyltransferase; Short=PII uridylyltransferase; Short=UTase; Includes: RecName: Full=[Protein-PII]-UMP uridylyl-removing enzyme; Short=UR	437	20	0.0	62.1	9	P:GO:0009737; P:GO:0018177; P:GO:0045893; P:GO:0090293; F:GO:0003824; F:GO:0005515; F:GO:0016597; C:GO:0005829; C:GO:0009506	P:response to abscisic acid; P:protein uridylylation; P:positive regulation of transcription, DNA-templated; P:nitrogen catabolite regulation of transcription; F:catalytic activity; F:protein binding; F:amino acid binding; C:cytosol; C:plasmodesma			IPR002912 (PFAM); G3DSA:3.30.70.260 (GENE3D); IPR040217 (PANTHER); PTHR31096:SF77 (PANTHER); IPR002912 (PROSITE_PROFILES); IPR002912 (PROSITE_PROFILES); IPR002912 (PROSITE_PROFILES); cd04925 (CDD); cd04895 (CDD); cd04897 (CDD); IPR045865 (SUPERFAMILY); IPR045865 (SUPERFAMILY); IPR045865 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_62359_SNP_273498-exonerate_est2genome-gene-0.0-mRNA-2	RecName: Full=Bifunctional uridylyltransferase/uridylyl-removing enzyme; Short=UTase/UR; AltName: Full=Bifunctional [protein-PII] modification enzyme; AltName: Full=Bifunctional nitrogen sensor protein; Includes: RecName: Full=[Protein-PII] uridylyltransferase; Short=PII uridylyltransferase; Short=UTase; Includes: RecName: Full=[Protein-PII]-UMP uridylyl-removing enzyme; Short=UR	437	20	0.0	62.1	9	P:GO:0009737; P:GO:0018177; P:GO:0045893; P:GO:0090293; F:GO:0003824; F:GO:0005515; F:GO:0016597; C:GO:0005829; C:GO:0009506	P:response to abscisic acid; P:protein uridylylation; P:positive regulation of transcription, DNA-templated; P:nitrogen catabolite regulation of transcription; F:catalytic activity; F:protein binding; F:amino acid binding; C:cytosol; C:plasmodesma			IPR002912 (PFAM); G3DSA:3.30.70.260 (GENE3D); PTHR31096:SF77 (PANTHER); IPR040217 (PANTHER); IPR002912 (PROSITE_PROFILES); IPR002912 (PROSITE_PROFILES); IPR002912 (PROSITE_PROFILES); cd04897 (CDD); cd04925 (CDD); cd04895 (CDD); IPR045865 (SUPERFAMILY); IPR045865 (SUPERFAMILY); IPR045865 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_62050_SNP_2398634-exonerate_est2genome-gene-0.1-mRNA-1	RecName: Full=CBS domain-containing protein CBSCBSPB5	422	9	0.0	63.14	1	C:GO:0016021	C:integral component of membrane			IPR000270 (SMART); IPR000644 (SMART); IPR000270 (PFAM); IPR046342 (G3DSA:3.10.580.GENE3D); G3DSA:3.10.20.90 (GENE3D); IPR000644 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR13780 (PANTHER); IPR034896 (PTHR13780:PANTHER); IPR000644 (PROSITE_PROFILES); IPR000644 (PROSITE_PROFILES); IPR000270 (PROSITE_PROFILES); IPR000644 (PROSITE_PROFILES); cd06409 (CDD); cd17782 (CDD); SSF54277 (SUPERFAMILY); IPR046342 (SUPERFAMILY); IPR046342 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_62189_SNP_1927409-exonerate_est2genome-gene-0.0-mRNA-3	RecName: Full=ATP-binding cassette sub-family D member 1; AltName: Full=Adrenoleukodystrophy protein; Short=ALDP	406	20	0.0	65.52	52	P:GO:0006699; P:GO:0007031; P:GO:0009235; P:GO:0009410; P:GO:0009617; P:GO:0014003; P:GO:0014070; P:GO:0015721; P:GO:0015889; P:GO:0015910; P:GO:0015916; P:GO:0030301; P:GO:0030325; P:GO:0030497; P:GO:0031288; P:GO:0031643; P:GO:0032000; P:GO:0036109; P:GO:0036113; P:GO:0036269; P:GO:0042758; P:GO:0042760; P:GO:0043217; P:GO:0051900; P:GO:0055089; P:GO:0055092; P:GO:0061744; P:GO:1900016; P:GO:1900407; P:GO:1903427; P:GO:1990535; P:GO:1990830; P:GO:2001280; F:GO:0005324; F:GO:0005524; F:GO:0015420; F:GO:0015607; F:GO:0016887; F:GO:0019899; F:GO:0042803; F:GO:0043531; F:GO:0043621; F:GO:0046982; F:GO:0047617; C:GO:0005765; C:GO:0005779; C:GO:0005789; C:GO:0005829; C:GO:0031966; C:GO:0043190; C:GO:0046861; C:GO:0048471	P:bile acid biosynthetic process; P:peroxisome organization; P:cobalamin metabolic process; P:response to xenobiotic stimulus; P:response to bacterium; P:oligodendrocyte development; P:response to organic cyclic compound; P:bile acid and bile salt transport; P:cobalamin transport; P:long-chain fatty acid import into peroxisome; P:fatty-acyl-CoA transport; P:cholesterol transport; P:adrenal gland development; P:fatty acid elongation; P:sorocarp morphogenesis; P:positive regulation of myelination; P:positive regulation of fatty acid beta-oxidation; P:alpha-linolenic acid metabolic process; P:very long-chain fatty-acyl-CoA catabolic process; P:swimming behavior; P:long-chain fatty acid catabolic process; P:very long-chain fatty acid catabolic process; P:myelin maintenance; P:regulation of mitochondrial depolarization; P:fatty acid homeostasis; P:sterol homeostasis; P:motor behavior; P:negative regulation of cytokine production involved in inflammatory response; P:regulation of cellular response to oxidative stress; P:negative regulation of reactive oxygen species biosynthetic process; P:neuron projection maintenance; P:cellular response to leukemia inhibitory factor; P:positive regulation of unsaturated fatty acid biosynthetic process; F:long-chain fatty acid transporter activity; F:ATP binding; F:ABC-type vitamin B12 transporter activity; F:ABC-type fatty-acyl-CoA transporter activity; F:ATP hydrolysis activity; F:enzyme binding; F:protein homodimerization activity; F:ADP binding; F:protein self-association; F:protein heterodimerization activity; F:acyl-CoA hydrolase activity; C:lysosomal membrane; C:integral component of peroxisomal membrane; C:endoplasmic reticulum membrane; C:cytosol; C:mitochondrial membrane; C:ATP-binding cassette (ABC) transporter complex; C:glyoxysomal membrane; C:perinuclear region of cytoplasm	EC:7.6.2.4; EC:3.6.1; EC:3.1.2.20; EC:7.6.2.8	ABC-type fatty-acyl-CoA transporter; Acting on acid anhydrides; Acyl-CoA hydrolase; ABC-type vitamin B12 transporter	IPR003593 (SMART); IPR027417 (G3DSA:3.40.50.GENE3D); IPR011527 (PFAM); IPR003439 (PFAM); PTHR11384 (PANTHER); PTHR11384:SF56 (PANTHER); PTHR11384:SF56 (PANTHER); PTHR11384 (PANTHER); IPR003439 (PROSITE_PROFILES); cd03223 (CDD); IPR027417 (SUPERFAMILY)	P:GO:0055085; F:GO:0005524; F:GO:0140359; C:GO:0016021	P:transmembrane transport; F:ATP binding; F:ABC-type transporter activity; C:integral component of membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	maker-Scaffold_9666_SNP_5105659-exonerate_est2genome-gene-0.2-mRNA-1	RecName: Full=Zinc transporter 3; Short=ZnT-3; AltName: Full=Solute carrier family 30 member 3	393	20	4.92073E-123	56.11	23	P:GO:0009636; P:GO:0010817; P:GO:0034097; P:GO:0042742; P:GO:0046903; P:GO:0048522; P:GO:0051050; P:GO:0061088; P:GO:0071577; F:GO:0005385; F:GO:0005515; F:GO:0046872; C:GO:0000325; C:GO:0000331; C:GO:0005770; C:GO:0005774; C:GO:0005789; C:GO:0005886; C:GO:0016021; C:GO:0030141; C:GO:0030672; C:GO:0043005; C:GO:0140220	P:response to toxic substance; P:regulation of hormone levels; P:response to cytokine; P:defense response to bacterium; P:secretion; P:positive regulation of cellular process; P:positive regulation of transport; P:regulation of sequestering of zinc ion; P:zinc ion transmembrane transport; F:zinc ion transmembrane transporter activity; F:protein binding; F:metal ion binding; C:plant-type vacuole; C:contractile vacuole; C:late endosome; C:vacuolar membrane; C:endoplasmic reticulum membrane; C:plasma membrane; C:integral component of membrane; C:secretory granule; C:synaptic vesicle membrane; C:neuron projection; C:pathogen-containing vacuole	EC:7	Translocases	IPR002524 (PFAM); IPR002524 (TIGRFAM); IPR027469 (G3DSA:1.20.1510.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR11562 (PANTHER); PTHR11562:SF54 (PANTHER); IPR036837 (SUPERFAMILY); IPR027469 (SUPERFAMILY)	P:GO:0006812; P:GO:0055085; F:GO:0008324; C:GO:0016021	P:cation transport; P:transmembrane transport; F:cation transmembrane transporter activity; C:integral component of membrane
true	[INTERPRO, NO-BLAST]	maker-Scaffold_59870_SNP_2152335-exonerate_est2genome-gene-0.0-mRNA-1	---NA---	391									IPR003107 (SMART); IPR011990 (G3DSA:1.25.40.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR26312:SF78 (PANTHER); PTHR26312 (PANTHER); IPR011990 (SUPERFAMILY)	P:GO:0006396; F:GO:0005515	P:RNA processing; F:protein binding
